Unnamed: 0,match_id,date,match_type,event_name,innings,batting_team,bowling_team,over,ball,ball_no,batter,bat_pos,runs_batter,balls_faced,bowler,valid_ball,runs_extras,runs_total,runs_bowler,runs_not_boundary,extra_type,non_striker,non_striker_pos,wicket_kind,player_out,fielders,runs_target,review_batter,team_reviewed,review_decision,umpire,umpires_call,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,gender,team_type,superover_winner,result_type,method,balls_per_over,overs,event_match_no,stage,match_number,team_runs,team_balls,team_wicket,new_batter,power_surge_start,batter_runs,batter_balls,bowler_wicket,batting_partners,next_batter,striker_out
141631,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,3,5,3.5,SC Ganguly,1,1,1,AA Noffke,1,0,1,1,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,44,23,0,Unknown,,5,8,0,"('BB McCullum', 'SC Ganguly')",Unknown,False
141632,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,3,6,3.6,BB McCullum,2,6,1,AA Noffke,1,0,6,6,False,Unknown,SC Ganguly,1,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,50,24,0,Unknown,,35,16,0,"('BB McCullum', 'SC Ganguly')",Unknown,False
141633,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,4,1,4.1,SC Ganguly,1,4,1,P Kumar,1,0,4,4,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,54,25,0,Unknown,,9,9,0,"('BB McCullum', 'SC Ganguly')",Unknown,False
141634,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,4,2,4.2,SC Ganguly,1,1,1,P Kumar,1,0,1,1,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,55,26,0,Unknown,,10,10,0,"('BB McCullum', 'SC Ganguly')",Unknown,False
141635,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,4,3,4.3,BB McCullum,2,4,1,P Kumar,1,0,4,4,False,Unknown,SC Ganguly,1,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,59,27,0,Unknown,,39,17,0,"('BB McCullum', 'SC Ganguly')",Unknown,False
141636,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,4,4,4.4,BB McCullum,2,0,1,P Kumar,1,0,0,0,False,Unknown,SC Ganguly,1,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,59,28,0,Unknown,,39,18,0,"('BB McCullum', 'SC Ganguly')",Unknown,False
141637,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,4,5,4.5,BB McCullum,2,1,1,P Kumar,1,0,1,1,False,Unknown,SC Ganguly,1,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,60,29,0,Unknown,,40,19,0,"('BB McCullum', 'SC Ganguly')",Unknown,False
141638,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,4,6,4.6,SC Ganguly,1,0,1,P Kumar,1,0,0,0,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,60,30,0,Unknown,,10,11,0,"('BB McCullum', 'SC Ganguly')",Unknown,False
141639,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,5,1,5.1,BB McCullum,2,1,1,Z Khan,1,0,1,1,False,Unknown,SC Ganguly,1,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,61,31,0,Unknown,,41,20,0,"('BB McCullum', 'SC Ganguly')",Unknown,False
141640,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,5,2,5.2,SC Ganguly,1,0,1,Z Khan,1,0,0,0,False,Unknown,BB McCullum,2,caught,SC Ganguly,JH Kallis,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,61,32,1,Unknown,,10,12,1,"('BB McCullum', 'SC Ganguly')",RT Ponting,True
141641,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,5,3,5.3,RT Ponting,3,0,1,Z Khan,1,0,0,0,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,61,33,1,RT Ponting,,0,1,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141642,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,5,4,5.4,RT Ponting,3,0,1,Z Khan,1,0,0,0,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,61,34,1,Unknown,,0,2,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141643,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,5,5,5.5,RT Ponting,3,0,1,Z Khan,1,0,0,0,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,61,35,1,Unknown,,0,3,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141644,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,5,6,5.6,RT Ponting,3,0,1,Z Khan,1,0,0,0,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,61,36,1,Unknown,,0,4,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141645,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,6,1,6.1,BB McCullum,2,1,1,AA Noffke,1,0,1,1,False,Unknown,RT Ponting,3,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,62,37,1,Unknown,,42,21,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141646,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,6,2,6.2,RT Ponting,3,1,1,AA Noffke,1,0,1,1,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,63,38,1,Unknown,,1,5,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141647,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,6,3,6.3,BB McCullum,2,1,1,AA Noffke,1,0,1,1,False,Unknown,RT Ponting,3,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,64,39,1,Unknown,,43,22,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141648,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,6,4,6.4,RT Ponting,3,2,1,AA Noffke,1,0,2,2,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,66,40,1,Unknown,,3,6,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141649,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,6,5,6.5,RT Ponting,3,1,1,AA Noffke,1,0,1,1,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,67,41,1,Unknown,,4,7,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141650,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,6,6,6.6,BB McCullum,2,1,1,AA Noffke,1,0,1,1,False,Unknown,RT Ponting,3,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,68,42,1,Unknown,,44,23,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141651,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,7,1,7.1,BB McCullum,2,0,1,Z Khan,1,0,0,0,False,Unknown,RT Ponting,3,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,68,43,1,Unknown,,44,24,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141652,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,7,2,7.2,BB McCullum,2,1,1,Z Khan,1,0,1,1,False,Unknown,RT Ponting,3,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,69,44,1,Unknown,,45,25,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141653,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,7,3,7.3,RT Ponting,3,1,1,Z Khan,1,0,1,1,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,70,45,1,Unknown,,5,8,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141654,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,7,4,7.4,BB McCullum,2,1,1,Z Khan,1,0,1,1,False,Unknown,RT Ponting,3,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,71,46,1,Unknown,,46,26,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141655,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,7,5,7.5,RT Ponting,3,1,1,Z Khan,1,0,1,1,False,Unknown,BB McCullum,2,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,72,47,1,Unknown,,6,9,0,"('BB McCullum', 'RT Ponting')",Unknown,False
141656,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bangalore,7,6,7.6,BB McCullum,2,1,1,Z Khan,1,0,1,1,False,Unknown,RT Ponting,3,Unknown,Unknown,Unknown,169.0,Unknown,Unknown,Unknown,Unknown,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,Unknown,Unknown,Unknown,6,20,1,Unknown,Unknown,73,48,1,Unknown,,47,27,0,"('BB McCullum', 'RT Ponting')",Unknown,False
